dma1,ch1,ADC1,TIM2_CH3,TIM4_CH1,,,,,
dma1,ch2,SPI1_RX,USART3_TX,TIM1_CH1,TIM2_UP,TIM3_CH3,,,
dma1,ch3,SPI1_TX,USART3_RX,TIM3_CH4,TIM3_UP,,,
dma1,ch4,SPI2_RX,I2S2_RX,USART1_TX,I2C2_TX,TIM1_CH4,TIM1_TRIG,TIM1_COM,TIM4_CH2
dma1,ch5,SPI2_TX,I2S2_TX,USART1_RX,I2C2_RX,TIM1_UP,TIM2_CH1,TIM4_CH3,
dma1,ch6,USART2_RX,I2C1_TX,TIM1_CH3,TIM3_CH1,TIM3_TRIG,,,
dma1,ch7,USART2_TX,I2C1_RX,TIM2_CH2,TIM2_CH4,TIM4_UP,,,
dma2,ch1,SPI3_RX,I2S3_RX,TIM5_CH4,TIM5_TRIG,TIM8_CH3,TIM8_UP,,
dma2,ch2,SPI3_TX,I2S3_TX,TIM5_CH3,TIM5_UP,TIM8_CH4,TIM8_TRIG,TIM8_COM,
dma2,ch3,UART4_RX,TIM6_UP,DAC_CH1,TIM8_CH1,,,,
dma2,ch4,SDIO,TIM5_CH2,TIM7_UP,DAC_CH2,,,,
dma2,ch5,ADC3,UART4_TX,TIM5_CH1,TIM8_CH2,,,,
